Dataset,Model,Stage,All Pass,All Fail,Inconsistent,Consistency %
folio,gpt-5,Prediction (Accuracy),124,31,48,76.35467980295566
folio,gpt-5,Stage 1 (Translation),203,0,0,100.0
folio,gpt-5,Stage 2 (Proving),137,13,53,73.89162561576354
folio,deepseek-r1,Prediction (Accuracy),119,22,62,69.45812807881774
folio,deepseek-r1,Stage 1 (Translation),199,0,4,98.0295566502463
folio,deepseek-r1,Stage 2 (Proving),146,5,52,74.38423645320196
multilogieval,gpt-5,Prediction (Accuracy),39,27,34,66.0
multilogieval,gpt-5,Stage 1 (Translation),100,0,0,100.0
multilogieval,gpt-5,Stage 2 (Proving),77,1,22,78.0
multilogieval,deepseek-r1,Prediction (Accuracy),47,20,33,67.0
multilogieval,deepseek-r1,Stage 1 (Translation),99,0,1,99.0
multilogieval,deepseek-r1,Stage 2 (Proving),90,0,10,90.0
